candidate_id,project,file,candidate_type,syntax_status,oracle_status,baseline_gate_status,oracle_ids
dokuwiki-C0085,dokuwiki,inc/html.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0202,dokuwiki,inc/template.php,mixed_php_html_sql,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0203,dokuwiki,inc/template.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0204,dokuwiki,inc/template.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0205,dokuwiki,inc/template.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0206,dokuwiki,inc/template.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0207,dokuwiki,inc/template.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0208,dokuwiki,inc/template.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0209,dokuwiki,inc/template.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0210,dokuwiki,inc/template.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0211,dokuwiki,inc/template.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0212,dokuwiki,inc/template.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0213,dokuwiki,inc/template.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0214,dokuwiki,inc/template.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0215,dokuwiki,inc/template.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0216,dokuwiki,inc/template.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0223,dokuwiki,lib/exe/css.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_css_http
dokuwiki-C0224,dokuwiki,lib/exe/css.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_css_http
dokuwiki-C0226,dokuwiki,lib/exe/js.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_js_http
dokuwiki-C0227,dokuwiki,lib/exe/js.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_js_http
dokuwiki-C0228,dokuwiki,lib/exe/js.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_js_http
dokuwiki-C0229,dokuwiki,lib/exe/js.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_js_http
kanboard-C0080,kanboard,app/Template/header.php,mixed_php_html,PASS,PASS,PASS,kanboard_login_http;kanboard_dashboard_auth_http
kanboard-C0081,kanboard,app/Template/layout.php,mixed_php_html,PASS,PASS,PASS,kanboard_login_http;kanboard_dashboard_auth_http
kanboard-C0092,kanboard,app/Template/auth/index.php,mixed_php_html,PASS,PASS,PASS,kanboard_login_http
kanboard-C0117,kanboard,app/Template/dashboard/layout.php,mixed_php_html,PASS,PASS,PASS,kanboard_dashboard_auth_http
kanboard-C0118,kanboard,app/Template/dashboard/overview.php,mixed_php_html,PASS,PASS,PASS,kanboard_dashboard_auth_http
kanboard-C0119,kanboard,app/Template/dashboard/projects.php,mixed_php_html,PASS,PASS,PASS,kanboard_dashboard_auth_http
kanboard-C0120,kanboard,app/Template/dashboard/subtasks.php,mixed_php_html,PASS,PASS,PASS,kanboard_dashboard_auth_http
kanboard-C0121,kanboard,app/Template/dashboard/tasks.php,mixed_php_html,PASS,PASS,PASS,kanboard_dashboard_auth_http
