candidate_id,project,treatment,status,patch_generated
dokuwiki-C0085,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0202,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0202,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0202,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0203,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0203,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0203,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0204,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0204,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0204,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0205,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0205,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0205,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0206,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0206,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0206,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0207,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0207,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0207,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0208,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0208,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0208,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0209,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0209,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0209,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0210,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0210,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0210,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0211,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0211,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0211,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0212,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0212,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0212,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0213,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0213,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0213,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0214,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0214,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0214,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0215,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0215,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0215,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0216,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0216,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0216,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0223,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0223,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0223,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0224,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0224,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0224,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0226,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0226,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0226,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0227,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0227,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0227,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0228,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0228,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0228,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0229,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0229,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0229,dokuwiki,T3-evidence-llm,pending_model_execution,false
kanboard-C0080,kanboard,T1-llm-only,pending_model_execution,false
kanboard-C0080,kanboard,T2-rule-static-only,not_applicable,false
kanboard-C0080,kanboard,T3-evidence-llm,pending_model_execution,false
kanboard-C0081,kanboard,T1-llm-only,pending_model_execution,false
kanboard-C0081,kanboard,T2-rule-static-only,not_applicable,false
kanboard-C0081,kanboard,T3-evidence-llm,pending_model_execution,false
kanboard-C0092,kanboard,T1-llm-only,pending_model_execution,false
kanboard-C0092,kanboard,T2-rule-static-only,not_applicable,false
kanboard-C0092,kanboard,T3-evidence-llm,pending_model_execution,false
kanboard-C0117,kanboard,T1-llm-only,pending_model_execution,false
kanboard-C0117,kanboard,T2-rule-static-only,not_applicable,false
kanboard-C0117,kanboard,T3-evidence-llm,pending_model_execution,false
kanboard-C0118,kanboard,T1-llm-only,pending_model_execution,false
kanboard-C0118,kanboard,T2-rule-static-only,not_applicable,false
kanboard-C0118,kanboard,T3-evidence-llm,pending_model_execution,false
kanboard-C0119,kanboard,T1-llm-only,pending_model_execution,false
kanboard-C0119,kanboard,T2-rule-static-only,not_applicable,false
kanboard-C0119,kanboard,T3-evidence-llm,pending_model_execution,false
kanboard-C0120,kanboard,T1-llm-only,pending_model_execution,false
kanboard-C0120,kanboard,T2-rule-static-only,not_applicable,false
kanboard-C0120,kanboard,T3-evidence-llm,pending_model_execution,false
kanboard-C0121,kanboard,T1-llm-only,pending_model_execution,false
kanboard-C0121,kanboard,T2-rule-static-only,not_applicable,false
kanboard-C0121,kanboard,T3-evidence-llm,pending_model_execution,false
