candidate_id,project,treatment,patch_format,apply_status,syntax_status,syntax_message,candidate_loc_before,candidate_loc_after,candidate_complexity_before,candidate_complexity_after,loc_delta,complexity_delta,static_proxy_status,gate_outcome,workspace
dokuwiki-C0010,dokuwiki,T1-llm-only,codex_apply_patch,applied,PASS,install.php: No syntax errors detected in /work/install.php,541,544,88,88,3,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/dokuwiki/dokuwiki-C0010/T1-llm-only
dokuwiki-C0010,dokuwiki,T3-evidence-llm,unified_diff,apply_failed,SKIP,error: corrupt patch at line 62,541,541,88,88,0,0,not_evaluated,rejected_apply,workspaces/patch_gate/dokuwiki/dokuwiki-C0010/T3-evidence-llm
dokuwiki-C0075,dokuwiki,T1-llm-only,codex_apply_patch,apply_failed,SKIP,context_not_found,2006,2006,269,269,0,0,not_evaluated,rejected_apply,workspaces/patch_gate/dokuwiki/dokuwiki-C0075/T1-llm-only
dokuwiki-C0075,dokuwiki,T3-evidence-llm,codex_apply_patch,applied,PASS,inc/html.php: No syntax errors detected in /work/inc/html.php,2006,2011,269,269,5,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/dokuwiki/dokuwiki-C0075/T3-evidence-llm
dokuwiki-C0076,dokuwiki,T1-llm-only,codex_apply_patch,apply_failed,SKIP,context_not_found,2006,2006,269,269,0,0,not_evaluated,rejected_apply,workspaces/patch_gate/dokuwiki/dokuwiki-C0076/T1-llm-only
dokuwiki-C0076,dokuwiki,T3-evidence-llm,codex_apply_patch,applied,PASS,inc/html.php: No syntax errors detected in /work/inc/html.php,2006,2014,269,269,8,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/dokuwiki/dokuwiki-C0076/T3-evidence-llm
dokuwiki-C0077,dokuwiki,T1-llm-only,codex_apply_patch,applied,PASS,inc/html.php: No syntax errors detected in /work/inc/html.php,2006,2008,269,269,2,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/dokuwiki/dokuwiki-C0077/T1-llm-only
dokuwiki-C0077,dokuwiki,T3-evidence-llm,codex_apply_patch,applied,PASS,inc/html.php: No syntax errors detected in /work/inc/html.php,2006,2016,269,269,10,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/dokuwiki/dokuwiki-C0077/T3-evidence-llm
dokuwiki-C0078,dokuwiki,T1-llm-only,codex_apply_patch,applied,PASS,inc/html.php: No syntax errors detected in /work/inc/html.php,2006,2007,269,269,1,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/dokuwiki/dokuwiki-C0078/T1-llm-only
kanboard-C0080,kanboard,T1-llm-only,codex_apply_patch,applied,PASS,app/Template/header.php: No syntax errors detected in /work/app/Template/header.php,24,28,1,1,4,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/kanboard/kanboard-C0080/T1-llm-only
kanboard-C0080,kanboard,T3-evidence-llm,codex_apply_patch,applied,PASS,app/Template/header.php: No syntax errors detected in /work/app/Template/header.php,24,28,1,1,4,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/kanboard/kanboard-C0080/T3-evidence-llm
kanboard-C0081,kanboard,T1-llm-only,codex_apply_patch,applied,PASS,app/Template/layout.php: No syntax errors detected in /work/app/Template/layout.php,65,66,6,6,1,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/kanboard/kanboard-C0081/T1-llm-only
kanboard-C0081,kanboard,T3-evidence-llm,codex_apply_patch,applied,PASS,app/Template/layout.php: No syntax errors detected in /work/app/Template/layout.php,65,63,6,4,-2,-2,improved_proxy,accepted_syntax_static_proxy_improved,workspaces/patch_gate/kanboard/kanboard-C0081/T3-evidence-llm
kanboard-C0092,kanboard,T1-llm-only,codex_apply_patch,applied,PASS,app/Template/auth/index.php: No syntax errors detected in /work/app/Template/auth/index.php,32,35,6,6,3,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/kanboard/kanboard-C0092/T1-llm-only
kanboard-C0092,kanboard,T3-evidence-llm,codex_apply_patch,applied,PASS,app/Template/auth/index.php: No syntax errors detected in /work/app/Template/auth/index.php,32,39,6,6,7,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/kanboard/kanboard-C0092/T3-evidence-llm
kanboard-C0117,kanboard,T1-llm-only,codex_apply_patch,applied,PASS,app/Template/dashboard/layout.php: No syntax errors detected in /work/app/Template/dashboard/layout.php,29,33,2,2,4,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/kanboard/kanboard-C0117/T1-llm-only
kanboard-C0117,kanboard,T3-evidence-llm,codex_apply_patch,applied,PASS,app/Template/dashboard/layout.php: No syntax errors detected in /work/app/Template/dashboard/layout.php,29,33,2,2,4,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/kanboard/kanboard-C0117/T3-evidence-llm
kanboard-C0118,kanboard,T1-llm-only,codex_apply_patch,applied,PASS,app/Template/dashboard/overview.php: No syntax errors detected in /work/app/Template/dashboard/overview.php,81,90,9,9,9,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/kanboard/kanboard-C0118/T1-llm-only
kanboard-C0118,kanboard,T3-evidence-llm,codex_apply_patch,applied,PASS,app/Template/dashboard/overview.php: No syntax errors detected in /work/app/Template/dashboard/overview.php,81,85,9,9,4,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/kanboard/kanboard-C0118/T3-evidence-llm
kanboard-C0119,kanboard,T1-llm-only,codex_apply_patch,applied,PASS,app/Template/dashboard/projects.php: No syntax errors detected in /work/app/Template/dashboard/projects.php,24,28,2,2,4,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/kanboard/kanboard-C0119/T1-llm-only
kanboard-C0119,kanboard,T3-evidence-llm,codex_apply_patch,applied,PASS,app/Template/dashboard/projects.php: No syntax errors detected in /work/app/Template/dashboard/projects.php,24,25,2,2,1,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/kanboard/kanboard-C0119/T3-evidence-llm
kanboard-C0120,kanboard,T1-llm-only,codex_apply_patch,applied,PASS,app/Template/dashboard/subtasks.php: No syntax errors detected in /work/app/Template/dashboard/subtasks.php,46,50,3,3,4,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/kanboard/kanboard-C0120/T1-llm-only
