candidate_id,project,treatment,status,patch_generated,patch_format,patch_bytes,response_id
dokuwiki-C0006,dokuwiki,T1-llm-only,model_executed,true,codex_apply_patch,3972,resp_0df0ad315d3648ff006a06fdca3ee081a38cad34448eae9bf4
dokuwiki-C0006,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0006,dokuwiki,T3-evidence-llm,model_executed,true,codex_apply_patch,1848,resp_097fb9be9bf89cd9006a06fde8bda0819089ea9faec27b6b03
dokuwiki-C0007,dokuwiki,T1-llm-only,model_executed,true,unified_diff,729,resp_030a97b5fa818d52006a06fc6e5b9c8196af7e8fff30bb67a9
dokuwiki-C0007,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0007,dokuwiki,T3-evidence-llm,model_executed,true,codex_apply_patch,660,resp_04a4f78336249e6e006a06fc8fed48819ca22e79b710ecfbd9
dokuwiki-C0008,dokuwiki,T1-llm-only,model_executed,true,unified_diff,1745,resp_0448f67747b34ba7006a06fe04cdbc81908757cc8b43c79475
dokuwiki-C0008,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0008,dokuwiki,T3-evidence-llm,model_executed,true,codex_apply_patch,2893,resp_0e5f6a6b1f124ed9006a06fe20a538819eb7648c454e6dcc42
dokuwiki-C0009,dokuwiki,T1-llm-only,model_executed,true,codex_apply_patch,3395,resp_0aa78f6021bec60b006a06fe3be370819e8f5bef81be1e4732
dokuwiki-C0009,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0009,dokuwiki,T3-evidence-llm,model_executed,true,codex_apply_patch,1130,resp_02da5cc2bd910911006a06fe5b4068819196eda2646b652f63
dokuwiki-C0010,dokuwiki,T1-llm-only,model_executed,true,codex_apply_patch,1985,resp_0c19d61e81dcedae006a06fe76817c8191bce2b086b2b8f4a2
dokuwiki-C0010,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0010,dokuwiki,T3-evidence-llm,model_executed,true,unified_diff,2091,resp_0f0d0c85349473c3006a06fe91ef74819380d4c31b7b0c8050
dokuwiki-C0074,dokuwiki,T1-llm-only,skipped_prompt_too_large,false,none,0,
dokuwiki-C0074,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0074,dokuwiki,T3-evidence-llm,skipped_prompt_too_large,false,none,0,
dokuwiki-C0075,dokuwiki,T1-llm-only,model_executed,true,codex_apply_patch,2666,resp_0394acbaba7764d1006a06ff466c24819d8ced4f8e099f8799
dokuwiki-C0075,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0075,dokuwiki,T3-evidence-llm,model_executed,true,codex_apply_patch,1190,resp_0a1ce5bb5ffbe000006a06ff628c408193b2ca9a7619d331ed
dokuwiki-C0076,dokuwiki,T1-llm-only,model_executed,true,codex_apply_patch,1728,resp_000d5a2f330e8fe3006a06ff7e6f9881908f42ac342b59c49e
dokuwiki-C0076,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0076,dokuwiki,T3-evidence-llm,model_executed,true,codex_apply_patch,11284,resp_0ece04f37e191d2e006a06ff9bf92c8191bede4562c0fc3b48
dokuwiki-C0077,dokuwiki,T1-llm-only,model_executed,true,codex_apply_patch,3634,resp_0db753219858ff67006a06ffc346948192b1a156aee5b1f79e
dokuwiki-C0077,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0077,dokuwiki,T3-evidence-llm,model_executed,true,codex_apply_patch,9608,resp_0f6e745d78296632006a06ffe2bd98819e98d74d4297cd9d45
dokuwiki-C0078,dokuwiki,T1-llm-only,model_executed,true,codex_apply_patch,1424,resp_01977bf0ca2550b0006a07000570c88191b846a8054552fdb3
dokuwiki-C0078,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0078,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0079,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0079,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0079,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0080,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0080,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0080,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0081,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0081,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0081,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0082,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0082,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0082,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0083,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0083,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0083,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0084,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0084,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0084,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0085,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0085,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0085,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0202,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0202,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0202,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0203,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0203,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0203,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0204,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0204,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0204,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0205,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0205,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0205,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0206,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0206,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0206,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0207,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0207,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0207,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0208,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0208,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0208,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0209,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0209,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0209,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0210,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0210,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0210,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0211,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0211,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0211,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0212,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0212,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0212,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0213,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0213,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0213,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0214,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0214,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0214,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0215,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0215,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0215,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0216,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0216,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0216,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0223,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0223,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0223,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0224,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0224,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0224,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0226,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0226,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0226,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0227,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0227,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0227,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0228,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0228,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0228,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
dokuwiki-C0229,dokuwiki,T1-llm-only,pending_model_execution,false,none,0,
dokuwiki-C0229,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0229,dokuwiki,T3-evidence-llm,pending_model_execution,false,none,0,
kanboard-C0080,kanboard,T1-llm-only,model_executed,true,codex_apply_patch,1209,resp_0a2b386582d53464006a09a99a206881a0a58367bb8c3867e5
kanboard-C0080,kanboard,T2-rule-static-only,not_applicable,false,none,0,
kanboard-C0080,kanboard,T3-evidence-llm,model_executed,true,codex_apply_patch,1353,resp_08406e8ac0bcd75b006a09a99f966c8196a67c0be2c6d60e72
kanboard-C0081,kanboard,T1-llm-only,model_executed,true,codex_apply_patch,1524,resp_05969896a452494a006a09a9a4ad8c81929ba7356f0f3fabae
kanboard-C0081,kanboard,T2-rule-static-only,not_applicable,false,none,0,
kanboard-C0081,kanboard,T3-evidence-llm,model_executed,true,codex_apply_patch,1395,resp_0673f3ce56c691ce006a09a9bf4e44819692c7c0213842926a
kanboard-C0092,kanboard,T1-llm-only,model_executed,true,codex_apply_patch,988,resp_04e75af5b5fe9a81006a09a9c3c71881958e6314419252c1cf
kanboard-C0092,kanboard,T2-rule-static-only,not_applicable,false,none,0,
kanboard-C0092,kanboard,T3-evidence-llm,model_executed,true,codex_apply_patch,1753,resp_020441fc7f385760006a09a9dd217881969aa11476a6194457
kanboard-C0117,kanboard,T1-llm-only,model_executed,true,codex_apply_patch,1004,resp_0a2714ebd9405b69006a09a9f835508194bcf187547064beb5
kanboard-C0117,kanboard,T2-rule-static-only,not_applicable,false,none,0,
kanboard-C0117,kanboard,T3-evidence-llm,model_executed,true,codex_apply_patch,958,resp_08d9e255bbae85fb006a09aa112d308197837a95a4de061ca0
kanboard-C0118,kanboard,T1-llm-only,model_executed,true,codex_apply_patch,3684,resp_0df8c513a55ea26e006a09aa169b9481969e1dfa0eb484bc11
kanboard-C0118,kanboard,T2-rule-static-only,not_applicable,false,none,0,
kanboard-C0118,kanboard,T3-evidence-llm,model_executed,true,codex_apply_patch,1186,resp_087839ad0df0b404006a09aa5baf08819595512c77d3f79ca2
kanboard-C0119,kanboard,T1-llm-only,model_executed,true,codex_apply_patch,1086,resp_0c8fa6f61786e564006a09aa630c1c8196a30e4e2922882ee5
kanboard-C0119,kanboard,T2-rule-static-only,not_applicable,false,none,0,
kanboard-C0119,kanboard,T3-evidence-llm,model_executed,true,codex_apply_patch,591,resp_002b86b2ff264c45006a09aada2744819681c5af759405035f
kanboard-C0120,kanboard,T1-llm-only,model_executed,true,codex_apply_patch,1964,resp_0a029bde6bb02204006a09ab1e17b48194ab8f8a9b5abe5d77
kanboard-C0120,kanboard,T2-rule-static-only,not_applicable,false,none,0,
kanboard-C0120,kanboard,T3-evidence-llm,pending_model_execution,false,none,0,
kanboard-C0121,kanboard,T1-llm-only,pending_model_execution,false,none,0,
kanboard-C0121,kanboard,T2-rule-static-only,not_applicable,false,none,0,
kanboard-C0121,kanboard,T3-evidence-llm,pending_model_execution,false,none,0,
